timestamp,event,plate,start_time,end_time,duration_sec,duration_hms,blocks,cost_kyats
2025-11-03 23:10:23,START,1D 9662,2025-11-03 23:10:23,,,,,
2025-11-03 23:11:25,START,1D 4431,2025-11-03 23:11:25,,,,,
2025-11-03 23:11:27,START,1D 9631,2025-11-03 23:11:26,,,,,
2025-11-03 23:11:28,START,0I 6025,2025-11-03 23:11:28,,,,,
2025-11-03 23:11:32,START,1D 1612,2025-11-03 23:11:32,,,,,
2025-11-03 23:11:41,START,1D 9471,2025-11-03 23:11:41,,,,,
2025-11-03 23:11:43,START,1D 9651,2025-11-03 23:11:43,,,,,
2025-11-03 23:11:52,START,1O 1663,2025-11-03 23:11:52,,,,,
2025-11-03 23:12:05,START,4Z 1094,2025-11-03 23:12:05,,,,,
2025-11-03 23:12:11,START,5I 0425,2025-11-03 23:12:11,,,,,
2025-11-03 23:12:19,START,1D 4671,2025-11-03 23:12:19,,,,,
2025-11-03 23:12:24,START,1D 9710,2025-11-03 23:12:24,,,,,
2025-11-03 23:12:25,START,1D 1110,2025-11-03 23:12:25,,,,,
2025-11-03 23:12:27,START,1D 1046,2025-11-03 23:12:27,,,,,
2025-11-03 23:12:34,START,1D 4600,2025-11-03 23:12:34,,,,,
2025-11-03 23:12:37,RECEIPT,1D 4671,2025-11-03 23:12:19,2025-11-03 23:12:37,18,00:00:18,1,500
2025-11-03 23:12:39,START,1D 4601,2025-11-03 23:12:39,,,,,
2025-11-03 23:12:41,START,1D 1016,2025-11-03 23:12:41,,,,,
2025-11-03 23:12:42,START,1D 4631,2025-11-03 23:12:42,,,,,
2025-11-03 23:12:47,START,1D 4471,2025-11-03 23:12:47,,,,,
2025-11-03 23:12:50,START,4I 0962,2025-11-03 23:12:50,,,,,
2025-11-03 23:12:53,START,1D 1041,2025-11-03 23:12:53,,,,,
2025-11-03 23:12:56,START,1Z 9662,2025-11-03 23:12:56,,,,,
2025-11-03 23:12:58,RECEIPT,1D 9662,2025-11-03 23:10:23,2025-11-03 23:12:57,154,00:02:34,3,1500
2025-11-05 14:58:22,START,6Z 2315,2025-11-05 14:58:22,,,,,
2025-11-05 14:58:27,START,2I 1122,2025-11-05 14:58:26,,,,,
2025-11-05 14:58:40,START,7I 7171,2025-11-05 14:58:40,,,,,
2025-11-05 14:59:09,START,2Z 5212,2025-11-05 14:59:09,,,,,
2025-11-05 14:59:14,START,1T 2371,2025-11-05 14:59:14,,,,,
2025-11-05 14:59:15,START,1X 2371,2025-11-05 14:59:15,,,,,
2025-11-05 14:59:17,START,1K 2371,2025-11-05 14:59:17,,,,,
2025-11-05 14:59:19,START,1K 2318,2025-11-05 14:59:18,,,,,
2025-11-05 14:59:21,START,1Z 5212,2025-11-05 14:59:21,,,,,
2025-11-05 14:59:59,START,7S 7575,2025-11-05 14:59:59,,,,,
2025-11-05 15:00:09,START,7S 7517,2025-11-05 15:00:08,,,,,
2025-11-05 15:00:10,START,0L 7575,2025-11-05 15:00:10,,,,,
2025-11-05 15:00:13,RECEIPT,7S 7575,2025-11-05 14:59:59,2025-11-05 15:00:13,13,00:00:13,1,500
2025-11-05 15:00:27,RECEIPT,7S 7575,2025-11-05 15:00:13,2025-11-05 15:00:27,13,00:00:13,1,500
2025-11-05 15:00:30,RECEIPT,0L 7575,2025-11-05 15:00:10,2025-11-05 15:00:30,19,00:00:19,1,500
2025-11-05 15:00:36,RECEIPT,7S 7517,2025-11-05 15:00:08,2025-11-05 15:00:36,27,00:00:27,1,500
2025-11-05 15:00:38,START,9L 7515,2025-11-05 15:00:38,,,,,
