epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7688,0.88436,2.06368,1.22659,0.00333,0.95349,0.95507,0.79765,0.5828,2.56561,1.06484,0.0002,0.0002,0.0002
2,80.404,0.7953,1.12997,1.14841,1,0.62698,0.95507,0.81382,0.62768,2.47864,1.0862,0.000411684,0.000411684,0.000411684
3,118.07,0.76391,1.05517,1.14041,1,0.84315,0.95507,0.80672,0.69644,2.23911,1.18202,0.000614656,0.000614656,0.000614656
4,156.144,0.78107,0.99869,1.13651,0.99099,0.93023,0.95414,0.79327,0.73012,1.77362,1.2443,0.000808916,0.000808916,0.000808916
5,192.755,0.78096,0.97109,1.14641,1,0.91383,0.9529,0.7573,0.82498,1.63736,1.36347,0.000994464,0.000994464,0.000994464
6,229.892,0.85051,0.95506,1.15947,0.90935,0.88372,0.9303,0.77159,0.71951,1.53378,1.18061,0.0011713,0.0011713,0.0011713
7,269.057,0.84826,0.89421,1.12922,0.98659,0.93023,0.95215,0.75663,0.73532,1.40198,1.23885,0.00133942,0.00133942,0.00133942
8,307.529,0.8133,0.87723,1.16049,0.96811,0.93023,0.95341,0.77907,0.76518,1.18345,1.2823,0.00149884,0.00149884,0.00149884
9,345.291,0.80885,0.84778,1.1134,0.90888,0.95349,0.92803,0.68978,0.82184,1.38379,1.2792,0.00164954,0.00164954,0.00164954
10,383.253,0.82003,0.83551,1.13494,0.91714,0.77231,0.85945,0.51583,1.19057,1.80807,1.54059,0.0016436,0.0016436,0.0016436
11,420.353,0.80902,0.7654,1.13339,0.62381,0.72093,0.67999,0.23305,2.00137,2.47306,2.34927,0.001604,0.001604,0.001604
12,46.1521,0.87062,0.80936,1.53145,0.49347,0.60465,0.46962,0.28671,1.0635,3.2915,1.49461,0.0015644,0.0015644,0.0015644
13,89.8519,0.8745,0.81829,2.65818,0.16915,0.48837,0.14261,0.1015,0.99025,3.35283,1.39795,0.0015248,0.0015248,0.0015248
