epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6964,0.73671,0.6991,1.1308,0.97411,0.87511,0.93716,0.71343,0.81878,1.24304,1.17279,0.0002,0.0002,0.0002
2,19.0306,0.71985,0.65425,2.05704,1,0.94971,0.95507,0.80689,0.61345,0.93644,1.05315,0.000411684,0.000411684,0.000411684
3,27.4584,0.69787,0.61999,1.10307,0.99811,0.95349,0.95507,0.8184,0.65469,0.75677,1.09264,0.000614656,0.000614656,0.000614656
4,35.9978,0.71698,0.62892,1.11747,0.97032,0.95349,0.9546,0.7657,0.69612,0.86299,1.1166,0.000808916,0.000808916,0.000808916
5,44.7856,0.71692,0.60924,1.19119,0.99905,0.95349,0.95508,0.81153,0.6656,0.75418,1.10269,0.000994464,0.000994464,0.000994464
6,53.2599,0.7103,0.5925,1.14913,1,0.95159,0.95509,0.77602,0.71606,0.7622,1.11231,0.0011713,0.0011713,0.0011713
7,64.1489,0.74686,0.58,1.07216,0.99356,0.93023,0.95415,0.79113,0.71469,0.80082,1.20405,0.00133942,0.00133942,0.00133942
8,72.8871,0.76141,0.60459,1.19997,0.95984,0.90698,0.9469,0.73528,0.88829,1.00785,1.34529,0.00149884,0.00149884,0.00149884
9,81.6935,0.77058,0.60819,1.08471,1,0.92601,0.95417,0.81151,0.62212,0.63728,1.07454,0.00164954,0.00164954,0.00164954
10,90.4006,0.69486,0.57414,1.31455,0.97261,0.95349,0.95516,0.78584,0.66421,0.74891,1.07388,0.0016436,0.0016436,0.0016436
11,99.056,0.77887,0.59764,1.55277,0.90605,0.88372,0.94551,0.76281,0.74453,0.91747,1.15619,0.001604,0.001604,0.001604
12,107.909,0.7789,0.57847,1.23234,0.84152,0.86452,0.90888,0.74642,0.7015,1.13034,1.14874,0.0015644,0.0015644,0.0015644
13,116.615,0.73073,0.56089,1.15551,0.88573,0.95349,0.94814,0.75411,0.66897,1.4572,1.08905,0.0015248,0.0015248,0.0015248
14,125.421,0.70636,0.52101,1.04185,0.92976,0.95349,0.93391,0.72908,0.75805,0.76513,1.17156,0.0014852,0.0014852,0.0014852
15,134.38,0.69054,0.49955,1.0633,0.99064,0.95349,0.95517,0.81348,0.64553,0.60598,1.08281,0.0014456,0.0014456,0.0014456
