epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23908,0.87412,2.17978,1.22096,0.00333,0.95349,0.95414,0.80183,0.60454,2.65749,1.08346,0.0002,0.0002,0.0002
2,13.9693,0.7409,1.08997,1.09591,1,0.73332,0.95507,0.7878,0.67935,2.45029,1.10781,0.00041744,0.00041744,0.00041744
3,20.7566,0.7981,1.10875,1.11539,1,0.92329,0.95507,0.80185,0.67308,2.16716,1.13367,0.000624495,0.000624495,0.000624495
4,27.5457,0.81568,1.11072,1.14762,1,0.71567,0.92307,0.72999,0.76688,2.42714,1.27367,0.000813601,0.000813601,0.000813601
5,34.389,0.85494,1.05755,1.16028,1,0.47975,0.78665,0.60874,0.80394,2.59192,1.29944,0.0009779,0.0009779,0.0009779
6,41.2135,0.83698,0.9497,1.12901,0.80652,0.87259,0.85201,0.6796,0.77997,1.74791,1.29994,0.00111152,0.00111152,0.00111152
7,48.1128,0.8965,1.00236,1.21998,0.5695,0.83721,0.75108,0.47633,0.94382,2.04836,1.42075,0.00120985,0.00120985,0.00120985
8,55.0515,0.85625,0.94966,1.18521,0.81487,0.72093,0.74811,0.54277,0.93052,1.83207,1.453,0.00126972,0.00126972,0.00126972
9,61.9071,0.78652,0.89234,1.11351,0.97331,0.84827,0.92415,0.70755,0.80598,1.44422,1.3052,0.00128961,0.00128961,0.00128961
10,68.8494,0.77017,0.83538,1.10617,0.79406,0.69767,0.7471,0.50589,1.07547,1.72563,1.53811,0.00116487,0.00116487,0.00116487
11,75.7968,0.63834,1.15254,1.09649,0.8786,0.90698,0.86731,0.66658,0.7714,1.49814,1.20373,0.00101,0.00101,0.00101
12,82.5495,0.63376,1.02323,1.07193,0.97413,0.95349,0.9546,0.79469,0.67064,0.92983,1.15083,0.00085513,0.00085513,0.00085513
13,89.2963,0.58453,0.91321,1.05923,0.95198,0.95349,0.95292,0.81037,0.67604,0.9514,1.14377,0.000704073,0.000704073,0.000704073
14,96.0202,0.56989,0.88836,1.02072,0.9748,0.95349,0.9546,0.79125,0.69682,0.88955,1.14747,0.000560549,0.000560549,0.000560549
15,102.886,0.54413,0.84317,0.99893,0.99797,0.95349,0.95507,0.81488,0.64658,0.78136,1.12183,0.000428093,0.000428093,0.000428093
16,109.842,0.55969,0.82847,1.00126,0.99847,0.95349,0.95507,0.81412,0.65561,0.76534,1.12708,0.000309964,0.000309964,0.000309964
17,116.779,0.53129,0.79668,0.98807,0.99843,0.95349,0.95507,0.82399,0.63937,0.72764,1.10627,0.000209073,0.000209073,0.000209073
18,123.811,0.52935,0.77534,0.97382,0.99856,0.95349,0.95507,0.82907,0.62558,0.71196,1.09263,0.000127904,0.000127904,0.000127904
19,130.806,0.52177,0.74431,1.00079,0.99856,0.95349,0.95507,0.82585,0.62937,0.69764,1.09381,6.8454e-05,6.8454e-05,6.8454e-05
20,137.851,0.48622,0.73212,0.95827,0.99856,0.95349,0.95507,0.82574,0.61926,0.6987,1.07836,3.21885e-05,3.21885e-05,3.21885e-05
